code_muni,casos,mortes
2709202,34,0
1301704,220,3
2103125,2,0
2103604,105,0
2111508,31,0
3116407,1,0
3123007,0,0
3132800,0,0
3144508,0,0
3159308,0,0
5004403,2,1
5005103,-1,0
5103437,5,1
2513208,3,0
2600401,34,0
2206902,4,0
4102406,63,4
4111506,37,4
2410801,1,0
4300802,41,0
4308201,38,0
4317004,0,0
2807501,1,0
3528403,8,1
3547601,15,0
2700706,53,0
2911501,14,0
2921708,33,0
3202553,5,0
3203205,450,10
5203962,1,0
5210307,2,0
2100105,0,0
3107000,2,0
3113602,9,0
3113800,0,0
3127057,0,0
3134202,276,9
3150901,4,0
3171907,2,0
5006358,3,0
2512788,1,0
2611705,30,2
4108502,6,0
2410603,2,0
4301057,8,1
4309506,0,0
4313375,31,1
4207809,8,0
4210209,11,1
4211405,5,0
3517208,69,1
3555505,1,0
2921401,14,0
2928703,126,6
2302057,9,1
2306405,63,3
3203601,13,0
3204500,10,3
5211602,2,0
5220686,0,0
2100956,22,0
2110005,77,0
3118007,65,0
3123502,5,0
3127503,0,0
3140001,125,2
3140704,22,-1
3147402,25,1
3159506,1,0
5003751,18,0
5007976,3,0
5107065,1,0
2613107,43,1
4105201,13,0
4109658,9,0
4118451,0,0
4310801,37,0
4321626,0,0
3506102,67,1
3509304,28,1
3515103,93,3
3518107,10,0
3527306,52,1
3528908,1,0
3538303,5,0
1701903,4,0
1715705,20,0
2703700,5,0
2901502,4,0
2917607,223,1
2930766,6,0
2933059,103,0
2107209,0,0
2100154,11,0
3100203,5,1
3105004,4,0
3136009,1,0
3145356,8,0
3147303,7,0
3147709,6,1
3125507,0,0
5102603,3,0
5106257,6,0
1505403,29,0
1506302,11,0
4117800,1,0
4118006,3,0
4309803,6,0
4317103,50,0
4322525,1,0
4323200,4,0
4207601,15,1
4210605,50,1
4218608,15,2
3521309,51,1
3527801,0,0
3548401,3,0
1200203,91,0
2703601,11,0
2706802,9,0
2905156,5,0
2912103,52,3
2931202,49,0
2309458,4,0
2310704,33,1
3110806,3,0
3123908,2,0
3132107,2,0
3153905,32,0
3169604,105,-1
5002902,47,0
1508084,200,0
2506251,2,0
2609204,30,0
2205300,7,0
4108601,3,0
4109302,5,0
4126900,2,0
2411205,20,3
2414209,43,0
4303400,3,0
4306734,1,0
3505609,75,3
3531704,6,0
1713205,79,0
2917300,26,1
5204003,11,1
5208905,16,0
5215504,36,1
5218706,-1,0
5221304,6,0
3100500,7,0
3109451,2,0
3158904,9,0
1503200,121,0
1503309,14,0
1504752,6,0
1507706,3,1
2503407,1,0
2613008,39,1
2203008,0,0
4110656,9,1
3300704,116,5
1100114,78,2
1100148,46,0
4306320,6,0
4308706,4,0
4311601,1,0
4211652,5,0
3510104,2,0
3528809,3,0
3531001,1,0
1702307,6,0
2703007,63,0
1301902,6,2
2918902,12,0
2929057,7,0
2932507,13,0
2305654,6,0
5212501,347,7
2101202,40,0
3119302,6,0
3170529,1,0
2604007,9,0
2201051,8,0
2201804,5,0
4114500,9,0
4115804,39,0
4119400,7,0
3300233,28,1
4313508,97,1
4212809,70,4
4216305,101,4
3544707,0,0
3548609,2,0
3555307,1,0
1708254,7,0
1301803,336,0
2902401,14,0
5204300,15,0
2106508,0,0
3124203,7,3
3142700,4,0
3143807,4,0
3154309,40,0
3156106,0,0
5106372,16,1
1503903,28,0
2516003,75,0
2605152,6,0
2606804,52,1
4114104,76,2
1101476,0,0
4313003,3,0
4316733,14,0
4322608,184,0
4216008,3,0
3502507,26,0
3512506,7,0
3522158,3,0
2930709,82,1
2931350,339,8
2102101,39,0
2104099,88,0
2107704,39,0
3102308,2,0
3105103,1,0
3126406,1,0
3140803,18,1
3148509,7,0
3156452,1,0
3158508,1,0
2506301,152,5
2607307,56,3
2607703,17,0
2209203,1,0
4112504,4,0
2407609,5,1
2414407,6,0
2414605,34,1
4300307,3,0
4318465,0,0
4213609,14,0
3503000,13,0
3515004,274,5
3515905,2,0
3530300,129,0
3554201,0,0
3556107,86,2
1703891,24,0
2702306,79,0
2707503,17,0
2903276,4,0
2905404,6,0
2927200,18,0
2107357,13,0
3124104,7,0
3144003,40,0
1500859,40,0
1506005,24,0
2506004,32,0
2516607,22,0
2600054,38,3
2608206,9,0
2616506,5,0
2204550,2,0
2211704,41,0
4103156,2,0
4107009,5,0
4108007,38,1
4127965,2,0
4304101,2,0
4309308,35,1
4319307,3,0
4207858,7,1
3508801,19,0
3544806,5,0
3551207,0,0
3553807,1,1
2914208,2,0
2926806,1,0
2306900,109,3
2311108,46,0
2312403,36,1
3203320,172,1
5207600,2,0
5212600,0,0
5214804,2,0
2108801,1,0
3125101,171,3
1503754,0,0
1505908,47,0
2504074,1,0
2504504,10,0
2514305,7,0
2609709,15,1
2611533,2,0
2210383,0,0
4111555,1,0
4112405,12,0
4128203,23,0
3301702,113,11
3304508,0,0
4301305,10,0
4307500,35,0
4308003,1,0
4317707,0,0
4321907,31,0
4206603,0,0
4214607,9,0
3504602,76,0
3507407,28,0
1703842,4,0
2921807,1,0
5203807,9,1
3114808,0,0
3143302,896,17
3162708,11,0
5005400,20,0
1501709,32,0
2502003,6,0
2609501,9,1
4105102,14,1
4108205,2,0
2401503,1,0
2406601,1,0
1101104,17,1
1101757,15,0
4314472,0,0
3525607,5,0
3552304,15,0
1717909,2,0
2700904,5,0
2700102,1,2
2901304,4,0
2926657,-1,0
2933307,543,12
2301851,22,1
5221601,60,1
3153202,1,0
5107198,0,0
1508159,5,0
4301206,4,0
4304309,3,0
4322533,0,0
3501509,1,0
3510005,20,0
3532843,5,0
3544251,13,0
1720309,5,0
1200500,119,0
2916609,13,0
2927101,0,0
2304277,7,0
2304301,71,2
2308351,6,0
2311231,13,0
5206305,12,1
5213509,0,0
5214507,16,3
5218508,76,0
2111029,14,0
2112852,37,0
3100807,0,0
3117108,2,0
3126109,38,4
3130200,3,0
3163607,8,1
3164506,0,0
3169208,5,0
3172004,48,2
5103007,7,1
5106802,4,0
2517001,1,0
2202208,41,5
4124707,0,0
4306304,14,0
4206405,9,0
4217303,1,0
4219408,3,0
2803203,40,1
3511706,29,1
3529500,9,0
3546108,2,0
2704203,27,1
2705408,16,0
2918555,41,1
2304236,-2,2
2304905,23,0
2306702,40,2
3205010,41,2
5207402,36,0
5216809,9,0
2106706,46,1
2111102,62,1
3128907,8,0
3133758,20,0
3136504,13,0
3160009,0,0
5006259,0,0
2511004,0,0
2606200,211,5
2608255,5,0
2202752,4,0
4102208,6,1
4126405,0,0
3302809,6,0
2411809,2,0
2414506,8,1
4303558,4,0
4310579,2,0
4314506,10,1
4320701,3,0
4201950,62,0
4207304,66,1
3504800,27,0
3513850,1,0
3532702,9,0
3552502,279,7
1302207,24,0
2907806,71,0
5215009,2,0
3163102,1,0
5003454,12,0
5005202,68,1
5106174,2,0
1500206,46,0
1505502,61,0
2512200,1,0
2514107,1,0
2202133,9,0
