,prevalencia_semana9,prevalencia_semana10,prevalencia_semana11,prevalencia_semana12,prevalencia_semana13,prevalencia_semana14,prevalencia_semana15,prevalencia_semana16,prevalencia_semana17,prevalencia_semana18,prevalencia_semana19,prevalencia_semana20,prevalencia_semana21,prevalencia_semana22,prevalencia_semana23,prevalencia_semana24,prevalencia_semana25,prevalencia_semana26,prevalencia_semana27,prevalencia_semana28,prevalencia_semana29,prevalencia_semana30,prevalencia_semana31,prevalencia_semana32,prevalencia_semana33,prevalencia_semana34
Sul,0.0,0.0,0.05004005873501934,0.5637846617478846,1.738058040063005,3.919804600909848,6.915536117179673,9.30411492079793,11.862829924115252,18.421413622318454,25.763958240703627,35.641865834996445,53.67630300309741,75.26024833746908,100.1301575287737,124.35288196043872,167.02370804574755,228.93994072054483,313.98468854266804,405.46792392203037,510.1784148270162,640.6595359805369,784.9884093879954,932.3163503156394,1071.5811697791137,1136.3663658213857
centro_oeste,0.0,0.0061360708063300205,0.08590499128862028,0.8835941961115229,2.196713348666147,4.178664219110743,6.2710643640692805,9.240922634333009,12.20464483379041,18.58615847237363,27.56936613284078,43.91585876090395,66.90771607222254,104.22116264551539,169.72985457389467,239.74855854492654,381.58383523324494,529.4570055949921,703.856410052504,898.3330381883276,1049.8817149630665,1316.316045444722,1576.3320458629569,1849.822857771892,2122.65711010455,2270.8493561482264
nordeste,0.0,0.0035043666335655877,0.029787116385307493,0.33466701350551364,1.14768007249273,2.943667972195094,7.09283806633675,15.426221920955717,29.47697993823694,50.96049958531078,88.01742455195009,138.66077895692317,214.39189409159232,306.171256224675,417.77131603720477,527.8942853136866,656.5676193649477,792.0797249016122,948.8230356877339,1092.3829191983816,1216.8895613223335,1374.4441329841254,1529.2740595883204,1664.0695221484207,1785.6780530664137,1843.3879627879717
norte,0.0,0.0,0.010851294939281579,0.17362071902850526,1.0254473717621093,2.9135726911971043,9.163918576223294,18.789017187366053,38.598056099024575,70.25128343690893,140.65448500296785,237.34494855943635,382.1120743443919,575.1294830768629,769.4490472020478,953.9210611698347,1147.5027372391485,1381.2776097635613,1562.3911479476403,1737.0535912903165,1905.2812167339987,2091.831253682658,2244.4601426511235,2417.7933023637374,2579.4667456640937,2665.3818733458556
sudeste,0.002263174797674719,0.018105398381397752,0.09957969109768763,0.6744260897070663,2.523439899407312,7.138053311866064,13.758971182463455,23.325411052234493,33.974780062692886,53.01147487333378,77.93808209492315,106.2028721430827,148.63061007509066,206.66067506226815,270.41657228756264,337.5932582195425,421.9383881666827,517.137704443471,613.0261574461512,716.0356899497149,801.4614858627449,930.691029984769,1056.1444669568727,1179.2543864259844,1310.8568693233706,1367.6568988080119
Brasil,0.0009517141859542452,0.009041284766565329,0.06471656464488867,0.5386702292501028,1.8810630885385655,4.93987248219551,9.988716238682779,17.689987431424534,28.316352174696654,46.36275656876105,74.82757615646656,111.62417758510853,167.08532177159216,239.31471820040363,322.10433523656343,405.3250787989605,509.8033104188316,627.441845802078,751.8737170446657,877.629422719916,988.8096256372768,1141.5778350524663,1290.5206292972127,1436.325621870868,1579.8969412500883,1647.7241837117683
