,prevalencia_semana9,prevalencia_semana10,prevalencia_semana11,prevalencia_semana12,prevalencia_semana13,prevalencia_semana14,prevalencia_semana15,prevalencia_semana16,prevalencia_semana17,prevalencia_semana18,prevalencia_semana19,prevalencia_semana20,prevalencia_semana21,prevalencia_semana22,prevalencia_semana23,prevalencia_semana24,prevalencia_semana25,prevalencia_semana26,prevalencia_semana27,prevalencia_semana28,prevalencia_semana29,prevalencia_semana30,prevalencia_semana31
Centro Oeste,0.0,0.006059025940595793,0.0848263631683411,0.8724997354457942,2.169131286733294,4.126196665545735,6.192324511288901,9.124893066537265,12.051402595845033,18.35278957406466,27.2232035510969,43.36444865684409,66.06761885625653,102.91255560101955,167.59871654282026,236.73826155095884,376.7926461678306,522.8091123102487,695.0187475938623,887.0535157551053,1036.6993384359403,1299.7883038025502,1556.5395280352968
Nordeste,0.0,0.003485884769260496,0.029630020538714216,0.3329019954643774,1.1416272619328125,2.9281432061788166,7.055430772983244,15.344864754284705,29.321519736634663,50.69173631458613,87.55322480713126,137.9294885500993,213.26120135620326,304.55652346313565,415.5680098250054,525.1101957566319,653.1049127143388,787.9023337992576,943.8189877587411,1086.6217432162664,1210.4717431833226,1367.1953794668898,1521.2087403423573
Norte,0.0,0.0,0.01071088637009306,0.17137418192148896,1.012178761973794,2.8758729903699862,9.045343539543587,18.54589974981613,38.09862281842101,69.34227835998246,138.83450912914623,234.27386212986042,377.16779719327195,567.6876885013022,759.4928861737436,941.5779544653255,1132.6548118646008,1363.4047923787004,1542.1748413387388,1714.5772683517566,1880.6281397473094,2064.7643427787643,2215.418315017308
Sudeste,0.002246882008889903,0.017975056071119225,0.09886280839115573,0.6695708386491911,2.5052734399122416,7.086665856038754,13.659919173046164,23.157489424623783,33.730192717455225,52.629840735232634,77.37699918114603,105.43830859017203,147.56060561083103,205.17290720077705,268.4698202732145,335.16289550208904,418.90081765040236,513.4147859133517,608.612929748008,710.8808878236364,795.6916961311946,923.990905720817,1048.5411926786064
Sul,0.0,0.0,0.04968151671333386,0.5597450883035615,1.725604680509796,3.8917188092111528,6.86598560978274,9.237450007565876,11.777831562174347,18.289422352735304,25.579356905138493,35.3864883043506,53.29170692783612,74.72100113685413,99.41271494338106,123.46188113374888,165.82696648576575,227.2995631657309,311.73495687059886,402.56270572591586,506.52293549912406,636.0691463796992,779.3638889854109
Brasil,0.0009444846483676286,0.008972604159492472,0.06422495608899874,0.5345783109760778,1.8667739074986178,4.902347567352176,9.912838626942447,17.555608401533295,28.101251742882052,46.010569645229026,74.25916099325643,110.77624319541825,165.8160860790418,237.49680398225462,319.65752354375456,402.2460946509651,505.930674864115,622.6755887948925,746.1622341457181,870.9626576424231,981.2982987493779,1132.906030020701,1280.7174052479108
